Raw ERP/Planning Export - intentionally messy,,,,,,,,
,,,,,,,,
Date,Dept,Account,Vendor / Customer,Amount EUR,Source,Owner,Status,Manual note
12/13/25,G&A,Office rent,Landlord,"7,483",manual Entry,Andres,,Map to GL 6100
2025-12-31,Revenue,Service,Retail Customer,"6,568",Check,M. Chen,needs mapping,Check sign
2025-12-31,R&D,Cloud hosting,AWS / Datadog,"1,219",cash,Andres,needs mapping,Check sign
2026-06-17,Marketing,Customer appr.,Gift hamper,"2,101",ERP,,,Check sign
22 Jan-26,Services,Prof services,Implementation clients,"(6,423)",Pos,Andres,needs mapping,One-off item
04 Feb-26,Sales,CRM / RevOps tools,Salesforce / Outreach,(852),Pos,Alex - FP&A,posted,Map to GL 6100
05/04/25,COGS,Materials,Home Depot,"8,350",manual Entry,M. Chen,late invoice,Vendor invoice late
24 Sep-25,R&D,Cloud hosting,AWS / Datadog,(744),ERP,Erik,,Vendor invoice late
2026-05-21,Sales,Payroll - sales,Payroll,"7,442",ERP,,needs mapping,Vendor invoice late
07/01/26,Sales,Sales commission,Payroll,"2,886",cash,finance ops,accrual,Timing issue
12/02/25,Mktg,Customer appr.,Soccer Ticket,"4,733",cash,Andres,posted,Timing issue
07/11/26,Mktg,Paid media,Google / LinkedIn,"8,451",cash,Alex - FP&A,Posted,One-off item
2025-01-15,Mktg,Events & webinars,Various,"2,404",Check,Erik,needs mapping,Timing issue
03/25/25,Mktg,Paid media,Google / LinkedIn,"8,156",cash,Erik,late invoice,One-off item
22 Mar-26,Mktg,Customer appr.,Soccer Ticket,"5,033",manual Entry,Andres,late invoice,Ask owner
03/22/25,Services,Support tools,Zendesk / Gainsight,"9,979",manual Entry,M. Chen,accrual,Timing issue
2025-07-18,G&A,Office rent,Landlord,"9,154",cash,Andres,late invoice,Timing issue
2025-05-16,Services,Support tools,Zendesk / Gainsight,"(4,947)",manual Entry,Alex - FP&A,accrual,Ask owner
2026-01-17,Sales,Payroll - sales,Payroll,"3,306",Pos,Alex - FP&A,needs mapping,Map to GL 6100
04/20/25,Sales,Sales commission,Payroll,"3,198",Pos,finance ops,needs mapping,Check sign
23-Feb-26,G&A,Office rent,Landlord,"3,913",Pos,finance ops,late invoice,One-off item
04 Sep-25,Marketing,Customer appr.,Soccer Ticket,"(6,518)",manual Entry,Alex - FP&A,late invoice,One-off item
2025-07-18,Marketing,Events & webinars,Various,"4,106",Pos,Andres,Posted,One-off item
20-Mar-26,COGS,Materials,Electric house,"(1,069)",Pos,TBD,manual adj,Timing issue
2025-01-23,Sales,Payroll - sales,Payroll,"9,192",cash,Andres,needs mapping,Vendor invoice late
2026-01-04,Services,Support tools,Zendesk / Gainsight,20,Check,Alex - FP&A,manual adj,
03/10/25,G&A,Office rent,Landlord,"7,852",Check,Alex - FP&A,needs mapping,
09 Apr-26,Mktg,Customer appr.,Gift hamper,"1,204",cash,Erik,Posted,Check sign
06 Sep-25,R&D,Cloud hosting,AWS / Datadog,"1,306",manual Entry,Andres,needs mapping,Vendor invoice late
04-Oct-25,Mktg,Events & webinars,Various,"3,757",ERP,M. Chen,accrual,Check sign
2025-07-18,G&A,Office rent,Landlord,"2,159",Pos,M. Chen,late invoice,Timing issue
2025-07-18,COGS,Payroll - eng,Payroll,"(2,406)",ERP,Alex - FP&A,needs mapping,Ask owner
2025-06-22,R&D,Payroll - eng,Payroll,"3,163",cash,finance ops,needs mapping,Check sign
19 Apr-26,Sales,CRM / RevOps tools,Salesforce / Outreach,"7,038",manual Entry,M. Chen,,Ask owner
04-Oct-25,Sales,CRM / RevOps tools,Salesforce / Outreach,"1,734",ERP,TBD,,Check sign
19 Jun-25,Marketing,Paid media,Google / LinkedIn,"8,431",manual Entry,finance ops,posted,Map to GL 6100
2025-08-19,COGS,Materials,Johnsons Supply,"8,093",ERP,Erik,accrual,Ask owner
06/11/25,COGS,Materials,Johnsons Supply,"5,590",Pos,,Posted,Check sign
30-May-25,Marketing,Paid media,Google / LinkedIn,"8,431",Pos,Alex - FP&A,manual adj,Map to GL 6100
2025-11-23,G&A,Legal fees,Buchalter,"(4,221)",Check,Erik,late invoice,Ask owner
07/11/26,Mktg,Events & webinars,Various,"7,200",ERP,finance ops,manual adj,Vendor invoice late
08 Jan-26,Revenue,Product sales,Corp. clients,"9,587",cash,Alex - FP&A,manual adj,Map to GL 6100
21-Jun-26,Revenue,Product sales,Retail Customer,"8,065",manual Entry,Alex - FP&A,posted,One-off item
03-Jul-25,Revenue,Service,Corp. clients,"9,984",cash,,needs mapping,One-off item
2026-06-08,Services,Support tools,Zendesk / Gainsight,298,Pos,Andres,manual adj,
10 Oct-25,Sales,CRM / RevOps tools,Salesforce / Outreach,"2,606",Check,,needs mapping,One-off item
21-Jun-26,COGS,Payroll - eng,Payroll,"2,269",Pos,TBD,manual adj,Map to GL 6100
30-May-25,R&D,Cloud hosting,AWS / Datadog,"9,202",Pos,Alex - FP&A,late invoice,Check sign
25 Feb-25,COGS,Materials,Home Depot,"(5,536)",Pos,Erik,posted,Ask owner
02/12/25,Sales,Sales commission,Payroll,"1,221",Check,finance ops,accrual,Timing issue
2026-05-01,Mktg,Events & webinars,Various,"5,172",Check,TBD,needs mapping,
18-Mar-26,COGS,Cloud hosting,AWS / Datadog,"9,632",cash,finance ops,Posted,Ask owner
30 May-26,COGS,Payroll - eng,Payroll,"1,731",Pos,M. Chen,,Ask owner
29-Mar-26,Sales,Payroll - sales,Payroll,"8,678",cash,,late invoice,
05-Feb-25,R&D,Payroll - eng,Payroll,121,cash,,manual adj,Vendor invoice late
08/27/25,Services,Prof services,Implementation clients,"4,375",Pos,,Posted,Check sign
2026-05-21,Mktg,Events & webinars,Various,"2,729",ERP,finance ops,posted,
20-Mar-26,COGS,Payroll - eng,Payroll,"6,644",ERP,Andres,posted,One-off item
12 Jan-25,R&D,Payroll - eng,Payroll,"3,119",cash,TBD,needs mapping,One-off item
15 Jan-26,Revenue,Subscr. revenue,Corp. clients,"8,556",ERP,M. Chen,needs mapping,Check sign
02/23/25,G&A,Legal fees,Buchalter,"5,012",manual Entry,Andres,manual adj,Check sign
05/04/25,Sales,Payroll - sales,Payroll,"(9,474)",Check,TBD,posted,Vendor invoice late
04-Jul-26,Mktg,Paid media,Google / LinkedIn,428,manual Entry,,,Timing issue
04 Jul-25,Revenue,Revenue,Corp. clients,"9,484",ERP,M. Chen,posted,Vendor invoice late
20-Mar-26,R&D,Payroll - eng,Payroll,"(2,783)",manual Entry,Andres,needs mapping,One-off item
2025-02-04,COGS,Payroll - eng,Payroll,"6,214",cash,TBD,posted,
24 Apr-26,Marketing,Customer appr.,Soccer Ticket,529,Pos,TBD,Posted,
04/25/26,Sales,Sales commission,Payroll,"6,552",cash,Alex - FP&A,posted,Vendor invoice late
21 Dec-25,Marketing,Events & webinars,Various,"7,995",Check,,late invoice,Map to GL 6100
09/12/25,Revenue,Product sales,Retail Customer,613,ERP,M. Chen,posted,Ask owner
13 Aug-25,Sales,Payroll - sales,Payroll,"(4,874)",ERP,TBD,posted,Ask owner
09-Mar-25,COGS,Payroll - eng,Payroll,"6,528",Check,Erik,manual adj,Map to GL 6100
02/27/25,Services,Support tools,Zendesk / Gainsight,"5,253",Pos,M. Chen,needs mapping,Check sign
02/07/25,Sales,Payroll - sales,Payroll,"7,595",Pos,Erik,accrual,Ask owner
04/05/25,R&D,AI automation,n8n,"6,282",Pos,Erik,,
2026-02-14,Revenue,Subscr. revenue,Retail Customer,"(1,890)",ERP,finance ops,manual adj,Vendor invoice late
03/22/25,Sales,Payroll - sales,Payroll,"3,267",Pos,Erik,manual adj,Ask owner
03/12/25,Revenue,Revenue,Corp. clients,"(7,515)",cash,,posted,One-off item
04 Feb-26,Mktg,Paid media,Google / LinkedIn,"7,791",Pos,Andres,,
21-Sep-25,R&D,Cloud hosting,AWS / Datadog,"(5,619)",ERP,Alex - FP&A,late invoice,Vendor invoice late
22 Jan-26,Mktg,Paid media,Google / LinkedIn,"(8,249)",ERP,,,Map to GL 6100
11/06/25,Sales,CRM / RevOps tools,Salesforce / Outreach,"3,301",Pos,M. Chen,needs mapping,One-off item
2025-04-02,G&A,Accounting fees,Brandon,"(2,135)",cash,,posted,Check sign
06 Oct-25,Mktg,Paid media,Google / LinkedIn,"1,085",manual Entry,TBD,late invoice,Ask owner
23 Jun-26,Mktg,Customer appr.,Amazon gift c.,"(6,556)",ERP,Erik,manual adj,Ask owner
2025-02-04,Mktg,Customer appr.,Amazon gift c.,"4,843",cash,Alex - FP&A,,Timing issue
27 Mar-25,Sales,CRM / RevOps tools,Salesforce / Outreach,"3,157",ERP,Andres,,Timing issue
01 Dec-25,G&A,Accounting fees,Brandon,"3,280",cash,TBD,needs mapping,Map to GL 6100
06/10/26,Marketing,Paid media,Google / LinkedIn,"3,395",Pos,Erik,posted,Vendor invoice late
2025-12-14,Marketing,Paid media,Google / LinkedIn,"5,823",Pos,Andres,posted,Vendor invoice late
31-Mar-25,Revenue,Product sales,Retail Customer,"7,379",Check,Andres,posted,Vendor invoice late
11-Sep-25,Sales,Payroll - sales,Payroll,(235),manual Entry,TBD,,Timing issue
2026-07-02,COGS,Cloud hosting,AWS / Datadog,"6,869",ERP,,posted,One-off item
07-Aug-25,Marketing,Google Ads,Google / LinkedIn,"(8,557)",cash,TBD,needs mapping,One-off item
29-Nov-25,G&A,Legal fees,Buchalter,"(8,479)",cash,finance ops,accrual,Timing issue
08-Dec-25,R&D,Cloud hosting,AWS / Datadog,"(3,667)",ERP,Erik,accrual,One-off item
01-Mar-25,Mktg,Events & webinars,Various,"3,716",Check,Erik,posted,Vendor invoice late
03 Jan-26,Services,Prof services,Implementation clients,344,manual Entry,finance ops,needs mapping,Map to GL 6100
03/30/26,Sales,Sales commission,Payroll,"8,066",Check,finance ops,manual adj,Vendor invoice late
04-Oct-25,Mktg,Customer appr.,Gift hamper,"1,448",ERP,TBD,posted,Vendor invoice late
2026-06-17,Mktg,Paid media,Google / LinkedIn,"9,595",ERP,Andres,,Vendor invoice late
12 May-25,Revenue,Product sales,Corp. clients,"5,974",ERP,Andres,needs mapping,Ask owner
23-Apr-26,Revenue,Revenue,Corp. clients,"4,370",Check,M. Chen,,One-off item
02-Jun-25,Marketing,Google Ads,Google / LinkedIn,439,manual Entry,Andres,accrual,Timing issue
2025-06-14,R&D,Cloud hosting,AWS / Datadog,"(2,414)",ERP,TBD,posted,Check sign
12/07/25,Revenue,Service,Retail Customer,"8,802",manual Entry,finance ops,accrual,Ask owner
2026-02-27,Mktg,Customer appr.,Gift hamper,"3,819",cash,Alex - FP&A,manual adj,Timing issue
08/27/25,Sales,Sales commission,Payroll,"(7,379)",cash,,accrual,Map to GL 6100
2026-06-17,Services,Support tools,Zendesk / Gainsight,"7,530",manual Entry,,manual adj,One-off item
08-Sep-25,Marketing,Events & webinars,Various,"6,104",manual Entry,Erik,,Check sign
09/05/25,Sales,Sales commission,Payroll,"4,601",cash,Andres,posted,Vendor invoice late
09/30/25,Revenue,Product sales,Corp. clients,"2,006",ERP,Andres,posted,Vendor invoice late
29-Jul-25,Revenue,Revenue,Retail Customer,"3,675",Check,M. Chen,,Ask owner
2025-07-18,COGS,Materials,Home Depot,"2,944",ERP,finance ops,Posted,One-off item
07 Jul-26,COGS,Payroll - eng,Payroll,"6,338",ERP,finance ops,posted,Vendor invoice late
2025-02-04,Marketing,Google Ads,Google / LinkedIn,"3,235",Pos,finance ops,Posted,One-off item
04/05/25,Revenue,Product sales,Corp. clients,"4,685",ERP,Andres,needs mapping,Map to GL 6100
2025-09-07,R&D,Cloud hosting,AWS / Datadog,141,Pos,finance ops,late invoice,Vendor invoice late
2025-12-29,R&D,AI automation,n8n,"(1,035)",cash,,needs mapping,
21-Jun-26,Marketing,Google Ads,Google / LinkedIn,"7,344",Pos,finance ops,,Check sign
2025-06-03,Revenue,Revenue,Corp. clients,"9,754",Pos,finance ops,posted,
31-Aug-25,Sales,CRM / RevOps tools,Salesforce / Outreach,"1,824",manual Entry,TBD,,One-off item
02/27/25,COGS,Materials,Home Depot,"9,899",cash,Andres,accrual,One-off item
07/09/26,R&D,Payroll - eng,Payroll,"(8,116)",Pos,TBD,Posted,One-off item
2025-11-30,G&A,Office rent,Landlord,"4,584",manual Entry,Andres,manual adj,Vendor invoice late
24-Jul-25,Marketing,Google Ads,Google / LinkedIn,"3,420",Pos,finance ops,posted,Timing issue
04 Feb-26,Services,Support tools,Zendesk / Gainsight,"4,114",cash,Erik,late invoice,
25 Feb-26,COGS,Payroll - eng,Payroll,"(5,374)",Pos,TBD,manual adj,
2026-06-16,Sales,Sales commission,Payroll,"7,254",Check,finance ops,needs mapping,
02-Aug-25,COGS,Payroll - eng,Payroll,"7,273",cash,Andres,late invoice,Check sign
2025-12-14,Services,Prof services,Implementation clients,"8,287",manual Entry,Erik,manual adj,Map to GL 6100
2025-01-04,Services,Prof services,Implementation clients,"9,103",manual Entry,,posted,One-off item
11/11/25,Marketing,Google Ads,Google / LinkedIn,"2,973",Check,Erik,posted,
02/27/25,G&A,Office rent,Landlord,"3,937",manual Entry,M. Chen,manual adj,Map to GL 6100
29-Mar-26,Sales,Payroll - sales,Payroll,"1,495",manual Entry,Andres,posted,Timing issue
26-Feb-25,Services,Prof services,Implementation clients,"1,443",cash,M. Chen,posted,Ask owner
08/05/25,Mktg,Paid media,Google / LinkedIn,"8,798",Pos,Andres,,Map to GL 6100
05/04/25,COGS,Cloud hosting,AWS / Datadog,"5,479",ERP,finance ops,needs mapping,One-off item
2026-02-27,R&D,AI automation,n8n,"6,289",manual Entry,finance ops,manual adj,One-off item
2025-11-19,Mktg,Paid media,Google / LinkedIn,"(9,303)",ERP,M. Chen,posted,Timing issue
17-Feb-26,Marketing,Paid media,Google / LinkedIn,"1,027",Pos,TBD,posted,One-off item
07-Aug-25,Mktg,Customer appr.,Soccer Ticket,"(4,840)",ERP,Alex - FP&A,Posted,Check sign
01 Jan-26,Revenue,Revenue,Retail Customer,"(6,939)",Pos,M. Chen,needs mapping,One-off item
23-Feb-26,Mktg,Events & webinars,Various,"7,495",ERP,,manual adj,Map to GL 6100
22-Apr-26,Revenue,Revenue,Retail Customer,"8,302",cash,finance ops,,Vendor invoice late
01/19/25,Revenue,Product sales,Corp. clients,"4,111",Pos,Erik,late invoice,Ask owner
05/29/25,Sales,Sales commission,Payroll,"(3,479)",ERP,M. Chen,late invoice,Map to GL 6100
2025-08-16,Mktg,Customer appr.,Soccer Ticket,"(2,065)",cash,M. Chen,,Timing issue
2026-05-01,Marketing,Paid media,Google / LinkedIn,"1,028",ERP,Alex - FP&A,Posted,Ask owner
05/21/25,Revenue,Service,Retail Customer,"3,673",Pos,Alex - FP&A,Posted,Timing issue
2025-10-26,Mktg,Customer appr.,Soccer Ticket,"(7,076)",cash,Alex - FP&A,,Ask owner
20 Jul-25,Services,Support tools,Zendesk / Gainsight,257,ERP,TBD,manual adj,Ask owner
16 Mar-25,Marketing,Google Ads,Google / LinkedIn,"4,640",Check,M. Chen,late invoice,
2025-01-04,Marketing,Google Ads,Google / LinkedIn,"7,611",cash,M. Chen,needs mapping,
29-Jul-25,Services,Support tools,Zendesk / Gainsight,"3,628",ERP,M. Chen,needs mapping,Ask owner
01 Jan-26,COGS,Materials,Home Depot,283,ERP,Alex - FP&A,manual adj,
29 Jun-26,Marketing,Customer appr.,Soccer Ticket,"4,513",ERP,Erik,posted,
19 Feb-25,Revenue,Service,Corp. clients,"7,293",cash,Alex - FP&A,Posted,Check sign
07/11/26,G&A,Legal fees,Buchalter,"(5,767)",Pos,Erik,manual adj,Vendor invoice late
10 Dec-25,COGS,Payroll - eng,Payroll,"2,150",Check,,,Ask owner
01 Apr-26,R&D,Cloud hosting,AWS / Datadog,903,manual Entry,Erik,accrual,One-off item
2025-04-08,R&D,Payroll - eng,Payroll,"6,868",manual Entry,M. Chen,manual adj,Ask owner
08/05/25,Revenue,Product sales,Retail Customer,"7,504",cash,Erik,late invoice,Check sign
02 Mar-26,Sales,Payroll - sales,Payroll,"2,824",ERP,Andres,,
25-Apr-25,R&D,Cloud hosting,AWS / Datadog,"5,950",ERP,Alex - FP&A,,
2025-07-13,Sales,CRM / RevOps tools,Salesforce / Outreach,"8,329",cash,M. Chen,late invoice,Vendor invoice late
08/30/25,Revenue,Product sales,Corp. clients,"7,418",cash,,needs mapping,One-off item
29-Jan-26,Revenue,Revenue,Retail Customer,"6,244",manual Entry,finance ops,late invoice,Ask owner
2025-11-23,G&A,Legal fees,Buchalter,"8,108",manual Entry,Alex - FP&A,manual adj,Check sign
2026-06-17,G&A,Accounting fees,Brandon,"4,502",cash,M. Chen,manual adj,Timing issue
15-Mar-26,Mktg,Customer appr.,Soccer Ticket,"(7,466)",cash,TBD,posted,Timing issue
05/28/25,Sales,Sales commission,Payroll,"8,549",Check,M. Chen,needs mapping,One-off item
05/06/26,Sales,Sales commission,Payroll,"7,346",Pos,finance ops,,Vendor invoice late
2025-12-30,Mktg,Customer appr.,Gift hamper,"3,634",Pos,Andres,Posted,Timing issue
22-Jul-25,G&A,Accounting fees,Brandon,"3,089",Pos,,manual adj,Ask owner
07/05/26,Services,Support tools,Zendesk / Gainsight,"6,048",ERP,Andres,,
2025-06-24,Mktg,Events & webinars,Various,"8,076",Pos,M. Chen,late invoice,Vendor invoice late
20 Feb-26,G&A,Legal fees,Buchalter,"6,204",Pos,M. Chen,needs mapping,One-off item
18 Aug-25,G&A,Office rent,Landlord,"3,064",Pos,Alex - FP&A,accrual,Vendor invoice late
15 Jan-26,COGS,Payroll - eng,Payroll,"7,873",Pos,Erik,manual adj,Map to GL 6100
2025-06-29,Revenue,Revenue,Corp. clients,(300),Pos,Alex - FP&A,Posted,Check sign
07 Jul-25,COGS,Payroll - eng,Payroll,"5,031",cash,M. Chen,,Vendor invoice late
2025-11-30,Services,Prof services,Implementation clients,"7,774",Check,TBD,,Vendor invoice late
06/13/26,Marketing,Customer appr.,Amazon gift c.,570,cash,TBD,accrual,
04 Feb-26,COGS,Payroll - eng,Payroll,"9,143",ERP,TBD,posted,Vendor invoice late
17 Mar-25,COGS,Cloud hosting,AWS / Datadog,"2,919",Pos,M. Chen,posted,Vendor invoice late
07/01/26,Marketing,Google Ads,Google / LinkedIn,"(8,303)",ERP,M. Chen,manual adj,Ask owner
2025-06-22,COGS,Cloud hosting,AWS / Datadog,"3,454",Check,Andres,needs mapping,Ask owner
15-Feb-25,Sales,Sales commission,Payroll,"9,030",Check,Alex - FP&A,needs mapping,Ask owner
07 Feb-26,COGS,Payroll - eng,Payroll,"(4,912)",Check,Erik,late invoice,Ask owner
10 Dec-25,G&A,Legal fees,Europa Law firm,"7,246",Check,,,One-off item
14 Aug-25,Sales,CRM / RevOps tools,Salesforce / Outreach,"5,138",cash,Andres,Posted,
14-Oct-25,Services,Support tools,Zendesk / Gainsight,"7,582",cash,Andres,,
24-Apr-25,Marketing,Events & webinars,Various,"(5,270)",Check,Andres,Posted,Vendor invoice late
2025-08-08,Mktg,Events & webinars,Various,"4,022",manual Entry,Andres,needs mapping,Ask owner
01-May-25,Services,Prof services,Implementation clients,(922),Check,finance ops,Posted,
2025-12-18,COGS,Cloud hosting,AWS / Datadog,"(9,551)",manual Entry,Andres,posted,Timing issue
01/19/25,Revenue,Revenue,Retail Customer,"1,485",Check,TBD,posted,One-off item
03/22/25,R&D,Payroll - eng,Payroll,"2,804",Pos,,accrual,Vendor invoice late
03/12/25,Mktg,Paid media,Google / LinkedIn,"2,363",ERP,Erik,manual adj,One-off item
2025-11-27,G&A,Office rent,Landlord,"9,492",Check,TBD,late invoice,Map to GL 6100
08-Dec-25,COGS,Cloud hosting,AWS / Datadog,"1,336",Check,M. Chen,needs mapping,Map to GL 6100
10 Oct-25,Marketing,Events & webinars,Various,"6,613",ERP,,manual adj,Vendor invoice late
2026-01-04,Services,Support tools,Zendesk / Gainsight,"8,633",Pos,finance ops,needs mapping,One-off item
23-Apr-26,G&A,Office rent,Landlord,"4,193",ERP,TBD,late invoice,Vendor invoice late
2025-07-12,Services,Prof services,Implementation clients,"6,006",manual Entry,TBD,manual adj,One-off item
05/13/26,COGS,Cloud hosting,AWS / Datadog,"8,860",ERP,M. Chen,manual adj,
2026-03-05,Sales,Sales commission,Payroll,"5,451",manual Entry,Andres,Posted,One-off item
04 Apr-26,Marketing,Paid media,Google / LinkedIn,"7,403",ERP,M. Chen,late invoice,Vendor invoice late
03/30/26,Sales,CRM / RevOps tools,Salesforce / Outreach,81,Pos,M. Chen,accrual,Map to GL 6100
08/28/25,Sales,Payroll - sales,Payroll,"5,577",Check,Andres,,Check sign
2025-07-06,G&A,Accounting fees,Jason CPA,"5,038",cash,,late invoice,Ask owner
2025-01-15,COGS,Materials,Walmart,"3,408",ERP,Alex - FP&A,Posted,Check sign
05/28/25,R&D,Payroll - eng,Payroll,"5,597",ERP,Andres,accrual,Check sign
31 May-26,Services,Support tools,Zendesk / Gainsight,"5,694",ERP,,accrual,Ask owner
09 Apr-26,Mktg,Events & webinars,Various,"(3,413)",cash,Alex - FP&A,late invoice,Ask owner
04 Apr-26,Mktg,Customer appr.,Soccer Ticket,"9,951",cash,finance ops,late invoice,Map to GL 6100
25-Apr-25,G&A,Legal fees,Europa Law firm,"5,449",manual Entry,Erik,late invoice,Timing issue
04-May-26,G&A,Office rent,Landlord,"6,778",Check,Alex - FP&A,late invoice,Timing issue
2025-02-04,Marketing,Events & webinars,Various,"2,040",Pos,Andres,manual adj,One-off item
07 Oct-25,Services,Support tools,Zendesk / Gainsight,"6,927",ERP,finance ops,Posted,Map to GL 6100
2025-11-23,Revenue,Product sales,Retail Customer,"3,396",cash,TBD,posted,
2026-01-31,Mktg,Events & webinars,Various,"9,730",cash,Andres,needs mapping,Ask owner
09/05/25,R&D,AI automation,n8n,"(4,055)",cash,Erik,posted,Ask owner
12/02/25,Marketing,Events & webinars,Various,"6,156",cash,Erik,posted,Map to GL 6100
22-Jul-25,Revenue,Product sales,Corp. clients,"(5,114)",Pos,,late invoice,
21 Dec-25,Marketing,Events & webinars,Various,"(8,893)",cash,M. Chen,needs mapping,Vendor invoice late
2025-12-17,Revenue,Revenue,Corp. clients,"(8,047)",Check,M. Chen,Posted,
2026-06-19,G&A,Accounting fees,Jason CPA,"(9,109)",manual Entry,TBD,manual adj,One-off item
02/23/25,Sales,CRM / RevOps tools,Salesforce / Outreach,"3,719",Check,TBD,manual adj,Ask owner
03 Jul-26,Revenue,Product sales,Retail Customer,"8,475",manual Entry,TBD,,One-off item
23-Feb-26,R&D,AI automation,n8n,"8,137",manual Entry,finance ops,,Check sign
06/01/26,COGS,Cloud hosting,AWS / Datadog,"3,890",ERP,finance ops,posted,Ask owner
04/20/25,Sales,Sales commission,Payroll,"1,171",ERP,M. Chen,,Ask owner
2025-04-21,COGS,Payroll - eng,Payroll,"8,289",manual Entry,M. Chen,,Check sign
18-Mar-26,Services,Prof services,Implementation clients,"1,507",ERP,Alex - FP&A,,Map to GL 6100
2026-04-18,Services,Support tools,Zendesk / Gainsight,"9,657",cash,Erik,Posted,One-off item
02-Aug-25,Revenue,Revenue,Retail Customer,"(6,456)",Pos,finance ops,needs mapping,Timing issue
03/25/25,G&A,Legal fees,Europa Law firm,"7,815",cash,Alex - FP&A,posted,Check sign
05/22/26,G&A,Legal fees,Buchalter,983,Pos,M. Chen,Posted,Check sign
2025-08-23,Marketing,Paid media,Google / LinkedIn,"9,933",ERP,finance ops,posted,Check sign
08/28/25,Sales,CRM / RevOps tools,Salesforce / Outreach,"8,659",ERP,M. Chen,,Timing issue
02/07/25,COGS,Payroll - eng,Payroll,"5,414",cash,,late invoice,Vendor invoice late
2026-05-28,COGS,Payroll - eng,Payroll,"6,762",cash,TBD,late invoice,Check sign
08/28/25,Marketing,Customer appr.,Soccer Ticket,"7,729",ERP,M. Chen,,Ask owner
09-Jul-25,Sales,CRM / RevOps tools,Salesforce / Outreach,"5,278",Pos,Erik,posted,Timing issue
21-Feb-25,Revenue,Product sales,Corp. clients,"2,795",ERP,Erik,,Vendor invoice late
22-Apr-26,COGS,Cloud hosting,AWS / Datadog,"4,915",Check,Alex - FP&A,accrual,Vendor invoice late
2025-07-19,G&A,Accounting fees,Brandon,"4,533",cash,finance ops,needs mapping,Vendor invoice late
02-Jun-25,Sales,Sales commission,Payroll,774,Check,Andres,Posted,
11/11/25,Services,Support tools,Zendesk / Gainsight,"(6,862)",manual Entry,Erik,needs mapping,Vendor invoice late
04 Jul-25,Services,Prof services,Implementation clients,"6,486",cash,M. Chen,,Timing issue
08/27/25,G&A,Legal fees,Europa Law firm,"1,743",ERP,M. Chen,posted,Timing issue
2026-06-11,Sales,CRM / RevOps tools,Salesforce / Outreach,"4,038",ERP,TBD,needs mapping,Map to GL 6100
23 Jun-26,COGS,Materials,Electric house,"1,348",Check,finance ops,late invoice,
04/03/25,Marketing,Customer appr.,Amazon gift c.,"4,715",Pos,M. Chen,,
25 Feb-26,Marketing,Events & webinars,Various,"8,517",Check,,late invoice,Map to GL 6100
2025-06-03,Services,Support tools,Zendesk / Gainsight,"6,263",manual Entry,M. Chen,Posted,Ask owner
19 Mar-26,Revenue,Revenue,Corp. clients,115,cash,Andres,needs mapping,One-off item
01 Apr-26,Services,Prof services,Implementation clients,"4,368",Pos,,late invoice,Map to GL 6100
15-Feb-25,G&A,Office rent,Landlord,"6,686",manual Entry,Andres,Posted,Check sign
03 Jan-26,G&A,Accounting fees,Brandon,(171),Pos,finance ops,accrual,Check sign
03 May-25,Mktg,Customer appr.,Gift hamper,"7,608",Pos,Alex - FP&A,accrual,One-off item
11/12/25,Marketing,Google Ads,Google / LinkedIn,"6,092",cash,Andres,accrual,
2025-08-20,G&A,Office rent,Landlord,(791),cash,TBD,,One-off item
07/09/26,Sales,Sales commission,Payroll,"(1,386)",ERP,Andres,late invoice,Vendor invoice late
11 May-25,Mktg,Customer appr.,Amazon gift c.,"(9,643)",ERP,Erik,late invoice,Map to GL 6100
2025-12-30,Revenue,Subscr. revenue,Retail Customer,"1,256",Pos,Alex - FP&A,accrual,
08-Sep-25,Marketing,Paid media,Google / LinkedIn,"9,111",cash,,,Vendor invoice late
11 May-25,COGS,Materials,Home Depot,"3,739",ERP,Andres,needs mapping,
07 Apr-26,Services,Prof services,Implementation clients,"(2,051)",manual Entry,finance ops,Posted,Check sign
05/29/26,Marketing,Google Ads,Google / LinkedIn,"(9,872)",ERP,M. Chen,late invoice,Check sign
06 Jan-26,COGS,Cloud hosting,AWS / Datadog,"1,437",ERP,Erik,needs mapping,One-off item
29-Jan-26,Sales,Payroll - sales,Payroll,773,manual Entry,TBD,Posted,One-off item
21-Feb-25,Mktg,Paid media,Google / LinkedIn,"9,148",cash,finance ops,late invoice,Vendor invoice late
01-May-25,G&A,Office rent,Landlord,"3,805",Pos,finance ops,needs mapping,Timing issue
2025-06-13,R&D,Cloud hosting,AWS / Datadog,"7,561",cash,TBD,,Check sign
16-Jan-26,COGS,Payroll - eng,Payroll,6,Pos,M. Chen,,Timing issue
30-May-25,Services,Prof services,Implementation clients,"8,804",cash,Andres,posted,Check sign
26-Dec-25,Marketing,Google Ads,Google / LinkedIn,"(2,588)",cash,Erik,Posted,One-off item
10/11/25,Marketing,Paid media,Google / LinkedIn,"5,214",ERP,Alex - FP&A,posted,Map to GL 6100
27-Jun-25,G&A,Legal fees,Buchalter,"1,551",ERP,M. Chen,Posted,Check sign
2025-09-14,Services,Support tools,Zendesk / Gainsight,"8,015",cash,,late invoice,Vendor invoice late
2025-06-29,Mktg,Paid media,Google / LinkedIn,"8,868",Check,,late invoice,Timing issue
05/25/25,Sales,Sales commission,Payroll,"6,387",ERP,TBD,manual adj,Vendor invoice late
